...1,Word,Context,Spacy POS,Length,count
0,easy,easy easy...,JJ,4,125548527
1,meng,general meng meng jie?,NN,4,689565
2,anything,i haven' t done anything anything like this... happened...,NN,8,75985266
3,out,out out get out of here,RB,3,741601852
4,kitty,over there is here kitty kitty.,NN,5,6414935
5,theta,"encrypt, this is diana 1716 theta theta 6.",NN,5,5070673
6,theta,"encrypt, this is diana 1 716 theta theta 6.",NN,5,5070673
7,very,"you see? it' s quite easy don' t be afraid come come on and you go, let' s bow your head that' s fine take your floo powder that' s it, very good don' t forget to speak very very clearly",RB,4,334923368
8,voice,what? sorry? that voice voice? didn' t you hear it? what are you talking about?,NN,5,64600528
9,voice,harry! did you hear it? hear what? that voice voice? what voice?,NN,5,64600528
10,kill,i think it' s gonna kill kill?,VB,4,24850951
11,come,"harry, i don' t who did it, but you' d be better come come on",VB,4,154326119
12,justin,justin justin must' ve seen the basilisk through nearly headless nick!,JJ,6,10029711
13,certain,"i sense that something is troubling you am i right, harry? it' s just you see, sir, i couldn' t help but notice certain thing, certain certain similarities between tom riddle and me",JJ,7,73108213
14,goo,"- and i' m the ego man, goo goo, g' joob.",VB,3,3878783
15,whoop,can i get a whoop whoop?,NN,5,331753
16,whoop,can i get a whoop whoop?,NN,5,331753
17,here,here here.,RB,4,639711198
18,montgomery,i am looking for dr. montgomery montgomery.,NN,10,10230206
19,nothing,nothing nothing,NN,7,73183983
20,montgomery,i am looking for dr. montgomery montgomery.,NN,10,10230206
21,nothing,nothing nothing,NN,7,73183983
22,laba,- laba laba batu.,NN,4,39052
23,mat,"- mat mat meal - ma ma ma, ma ma- ma ma",NN,3,9937738
24,shoop,shoop shoop shooby doo wah,NN,5,142537
25,mat,"- mat mat meal - ma ma ma, ma ma- ma ma",NN,3,9937738
26,shoop,shoop shoop shooby doo wah,NN,5,142537
27,thing,it' s a thing thing.,NN,5,97451660
28,really,"i love her, i really really love her.",RB,6,162033390
29,now,"now now, calm down.",RB,3,611387736
30,mirror,mirror mirror on the wall..,NN,6,21539161
31,anytime,you' re welcome here anytime anytime at all,RB,7,16192486
32,then,"- then then, demuéstralo. - the match is not going away to cancel.",RB,4,369928941
33,miss,"miss miss phoenix black, i' m sorry",VB,4,39897915
34,later,see you later later,RB,5,84857974
35,shimmy,shimmy shimmy.,NN,6,188186
36,kitty,"come here, kitty kitty.",NN,5,6414935
37,really,they' re really really mad at us.,RB,6,162033390
38,really,"people always read the labels of their favourite brands really really carefully just to see how many chemicals they have, and then they just sigh and they put them in their cartanyway,",RB,6,162033390
39,love,i love love connection.,NN,4,201063526
40,love,"you love love connection, send your picture in there.",NN,4,201063526
42,gene,"that means... it' s gene gene, the dancing machine... and just in time:",NN,4,34266155
43,game,"the game game, ""dream girl of 1968""...",NN,4,227111505
44,very,it' s is very very sad.,RB,4,334923368
45,very,this is very very sad.,RB,4,334923368
46,wait,wait wait.,VB,4,39001376
47,wait,wait wait.,VB,4,39001376
48,big,"when i was iittle i thought for sure 1 day, i could be a big big star...",JJ,3,216690546
49,far,"i mean, we come back here and we go far far away",RB,3,93061804
50,big,"when i was iittle i thought for sure 1 day, i could be a big big star...",JJ,3,216690546
51,far,"i mean, we come back here and we go far far away",RB,3,93061804
52,big,"when i was iittle i thought for sure 1 day, i could be a big big star...",JJ,3,216690546
53,far,"i mean, we come back here and we go far far away",RB,3,93061804
54,yum,big yum yum book.,VB,3,2362952
55,yum,big yum yum book.,VB,3,2362952
56,back,"well i showered, i mean i guess i didn' t cool, i wanted to get back back down here and check on you, it was a tour de stad.",RB,4,488024109
57,very,"he founded an oil company, a drilling company, out of west texas called arbusto, which was very very good at drilling dry holes that nothing came out of.",RB,4,334923368
58,very,"it was really very very skillfully and, and ugly in what they did.",RB,4,334923368
59,very,"the benefits of free software were tremendous but the cost of supporting it internally uh, and made managers very very nervous and so the fundamental idea i had was if we can build a model that could deliver two to four times the support and uh, and uh, and hand holding capability that an internal engineer could provide.",RB,4,334923368
60,city,"foster city city limits, which meant also just outside of foster city police jurisdiction, which meant any, any incidents that happened at the meeting point happened in the jurisdiction of san mateo, and if they told us they get lost, we' d say, ""fine, we are going to foster city.",NN,4,390564835
61,very,but i was very very open with him.,RB,4,334923368
62,very,"if something goes wrong, it can be very very serious.",RB,4,334923368
63,very,"i' ve never been that high before, and it' s very very strenuous to climb ice like that.",RB,4,334923368
64,very,i was very very cold.,RB,4,334923368
65,very,"i felt very unnerved, very very vulnerable.",RB,4,334923368
66,very,"crossing a glacier is very very dangerous on your own, because there are crevices in the ice, and the snow covers them.",RB,4,334923368
67,attack,someone knocks on the door and accuses you for a crime you didn' t commit you gotta attack attack your attackers and do what you can.,VB,6,35599513
68,fuck,fuck fuck.,NN,4,39099536
69,bent,i know that but this one' s bent bent.,JJ,4,5070333
70,tin,rin tin tin.,NN,3,10695557
71,tin,rin tin tin...,NN,3,10695557
72,mmm,# mmm mmm... #,VB,3,1705485
73,mmm,# mmm mmm... #,VB,3,1705485
74,sing,because we monitor all his phone calls from sing sing.,VB,4,11114001
75,sing,"and dr. kassam, the psychiatrist at sing sing, concurs with the diagnosis.",VB,4,11114001
76,sing,you said it' s either here or sing sing.,VB,4,11114001
77,sing,do you just go back to sing sing?,VB,4,11114001
78,sing,because we monitor all his phone calls from sing sing.,VB,4,11114001
79,sing,"and dr. kassam, the psychiatrist at sing sing, concurs with the diagnosis.",VB,4,11114001
80,sing,you said it' s either here or sing sing.,VB,4,11114001
81,sing,do you just go back to sing sing?,VB,4,11114001
82,really,"the other day... that... all the really really knock- out acts have something a little different going on, you know?",RB,6,162033390
83,maybe,"once i get a name for myself, maybe maybe we can open up a club of our own, you know?",RB,5,51895609
84,omega,"i' m panos patakos, president of the lambda omega omega fraternity.",NN,5,10289113
85,omega,mad props for this pimpin 'good time... go out to those hung and handsome bad boys... of lambda omega omega.,NN,5,10289113
86,happy,"i can see how a happy happy- birthday basket...... might seem ironic and cruel, but it was an honest mistake.",JJ,5,63471922
87,hope,"they believe he can give them hope hope of a new life, a new world, a better future!",NN,4,74145758
88,very,"well, you' ve all done very very well for your first lesson,",RB,4,334923368
89,very,"well, you' ve all done very very well for your first lesson.",RB,4,334923368
90,many,we had rehearsed many many times,JJ,4,318966441
91,very,"well, you' ve all done very very well for your first lesson,",RB,4,334923368
92,circus,in front of circus circus!,NN,6,5377139
93,ray,my name is ray ray and i' m here to... service you.,NN,3,32113994
94,ray,ray ray is a sexual healer.,NN,3,32113994
95,ray,"ray ray' s service center, 6630 harford road.",NN,3,32113994
96,ray,ray ray?,NN,3,32113994
97,ray,ray ray has helped me understand my hypersexuality.,NN,3,32113994
98,ray,"uh, i would, but i' m supposed to help ray ray think up a new sex act.",NN,3,32113994
99,ray,"ray ray is a sex saint,",NN,3,32113994
100,ray,"oh, and i' ve got hot pants, ray ray.",NN,3,32113994
101,ray,you have met ray ray.,NN,3,32113994
102,ray,"no, there' s this guy named ray ray and he is their leader and he ate me out.",NN,3,32113994
103,ray,"ray ray is gonna be all better, right?",NN,3,32113994
104,ray,we don' t serve ray ray' s people here.,NN,3,32113994
105,ray,- ray ray!,NN,3,32113994
106,ray,"do it for us one more time, ray ray.",NN,3,32113994
107,ray,"now, ray ray, now!",NN,3,32113994
109,anything,anything anything?,NN,8,75985266
110,plan,you' re on the non- plan plan.,NN,4,160746244
111,plan,i am not on a non- plan plan!,NN,4,160746244
112,very,i' m pretty sure you could make the iadies very very happy 1 slice of cake for her...,RB,4,334923368
113,alone,it' s alone alone.,RB,5,39326417
114,haw,"haw haw... you baby, you going down!",NN,3,740732
115,urt,"yes, somehow you seem urt urt, really?",JJ,3,165302
116,sally,"sally sally, right",RB,5,5933047
117,sing,"and sing sing, xixi' s mother.",VB,4,11114001
118,sing,- sing sing.,VB,4,11114001
119,thing,"sexy thing, miss thing thing.",NN,5,97451660
120,sing,sing sing!,VB,4,11114001
121,sing,sing sing.,VB,4,11114001
122,sing,sing sing.,VB,4,11114001
123,sing,"sing sing, these peking duck feet is the shit!",VB,4,11114001
124,sing,"the shit is real good, sing sing.",VB,4,11114001
125,gus,"oh, hi, gus gus.",JJ,3,1795932
126,gus,gus gus.,JJ,3,1795932
127,gus,- i think i' m gonna go talk to gus gus.,JJ,3,1795932
128,gunther,"i can see myself in the mountains, raising children...... little hans hans and gunther gunther.",NN,7,585995
129,gus,i' d hate to see you with gus gus.,JJ,3,1795932
130,plan,you' re on the non- plan plan.,NN,4,160746244
131,plan,i am not on a non- plan plan!,NN,4,160746244
132,bright,~ gonna be a bright bright sunshiny day,JJ,6,19446368
133,bright,whoo! ~ gonna be a bright bright sunshiny day,JJ,6,19446368
135,haw,"haw haw... you baby, you going down!",NN,3,740732
136,urt,"yes, somehow you seem urt urt£¬really?",JJ,3,165302
137,sally,sally sally£¬right,RB,5,5933047
138,pum,"# a new born king to see, # par um pa pum pum",VB,3,171373
140,gus,"oh, hi, gus gus.",JJ,3,1795932
141,gus,gus gus.,JJ,3,1795932
142,gus,- i think i' m gonna go talk to gus gus.,JJ,3,1795932
143,gunther,"l can see myself in the mountains, raising children...... little hans hans and gunther gunther.",NN,7,585995
144,gus,l' d hate to see you with gus gus.,JJ,3,1795932
145,sing,"and sing sing, xixi' s mother.",VB,4,11114001
146,sing,- sing sing.,VB,4,11114001
147,thing,"sexy thing, miss thing thing.",NN,5,97451660
148,sing,sing sing!,VB,4,11114001
149,sing,sing sing.,VB,4,11114001
150,sing,sing sing.,VB,4,11114001
151,sing,"sing sing, these peking duck feet is the shit!",VB,4,11114001
152,sing,"the shit is real good, sing sing.",VB,4,11114001
153,plan,you' re on the non- plan plan.,NN,4,160746244
154,plan,i am not on a non- plan plan!,NN,4,160746244
155,anything,anything anything?,NN,8,75985266
156,smack,i know she oughta give his face a smack smack.,VB,5,1451860
157,very,very very.,RB,4,334923368
158,dirty,dirty dirty!,JJ,5,16101662
159,dirty,you called my daughter a dirty dirty!,JJ,5,16101662
